taxa_label,Collector,Collection_Number,Herbarium,State,County,Latitude,Longitude,ID_prior,ID_final,multiLocus,header_rITS,header_rps,header_ycf1
PDORN_42,"J. Ratcliff & S. L. O'Kane, Jr.",42,ISTC,Wyoming,Lincoln,41.8369,-110.8833,Physaria dornii,Physaria dornii,TRUE,PDORN_42 rITS,PDORN_42 rps,PDORN_42 ycf1
PDORN_4376,C. H. Refsdal with L. Refsdal,4376,RM,Wyoming,Uinta,41.2648,-110.7084,Physaria dornii,Physaria dornii,TRUE,PDORN_4376 rITS,PDORN_4376 rps,PDORN_4376 ycf1
PEBUR_10410,R. Dorn,10410,RM,Wyoming,Carbon,42.35,-106.4692,Physaria eburniflora,Physaria eburniflora,TRUE,PEBUR_10410 rITS,PEBUR_10410 rps,PEBUR_10410 ycf1
PEBUR_14841,W. Fertig,14841,RM,Wyoming,Fremont,42.63,-108.1795,Physaria eburniflora,Physaria eburniflora,TRUE,PEBUR_14841 rITS,PEBUR_14841 rps,PEBUR_14841 ycf1
PEBUR_3120,A. Salywon & D. Dierig,3120,ISTC,Wyoming,Carbon,42.3458,-107.4597,Physaria eburniflora,Physaria eburniflora,FALSE,PEBUR_3120 rITS,FRAMESHIFT,MISSING
PEBUR_3121,A. Salywon & D. Dierig,3121,ISTC,Wyoming,Natrona,42.4333,-107.225,Physaria eburniflora,Physaria eburniflora,FALSE,PEBUR_3121 rITS,FRAMESHIFT,MISSING
PEBUR_37,"J. Ratcliff & S. L. O'Kane, Jr.",37,ISTC,Wyoming,Fremont,42.3067,-107.6322,Physaria eburniflora,Physaria eburniflora,TRUE,PEBUR_37 rITS,PEBUR_37 rps,PEBUR_37 ycf1
PEBUR_38,"J. Ratcliff & S. L. O'Kane, Jr.",38,ISTC,Wyoming,Fremont,42.4417,-107.1967,Physaria eburniflora,Physaria eburniflora,TRUE,PEBUR_38 rITS,PEBUR_38 rps,PEBUR_38 ycf1
PINTE_17493,W. Fertig,17493,RM,Wyoming,Lincoln,41.9268,-110.8773,Physaria integrifolia,Physaria integrifolia,TRUE,PINTE_17493 rITS,PINTE_17493 rps,PINTE_17493 ycf1
PINTE_19288,B. E. Nelson,19288,RM,Wyoming,Teton,43.6052,-110.3772,Physaria integrifolia,Physaria integrifolia,TRUE,PINTE_19288 rITS,PINTE_19288 rps,PINTE_19288 ycf1
