label,Collection_Number,Collector.x,Collector.y,Physaria_a_priori_1,Physaria_a_priori_2,Physaria_a_priori_3,Physaria_a_priori_4,Physaria_recent,Physaria_syn,Taxon,Taxon_a_posteriori,ID_prior,ID_final,Herbarium.x,Herbarium.y,State.x,State.y,County.x,County.y,Date,Date_parsed,Date_md,App.A,Latitude,Longitude
PDIDY_LA_3138,3138,A. Salywon & D. Dierig,A. Salywon & D. Dierig,Physaria didymocarpa ssp lanata,Physaria didymocarpa ssp lanata,NA,NA,Physaria didymocarpa ssp lanata,Physaria didymocarpa ssp. lanata,"Physaria didymocarpa ssp lanata, !",Physaria didymocarpa ssp lanata ?,Physaria didymocarpa ssp. lanata,NA,ISTC,ISTC,Wyoming,Wyoming,Johnson,Johnson,06/24/1996,1996-06-24,2019-06-24,x,44.3289,-106.8425
PDIDY_LA_32,32,K. O'Dea,K. O'Dea,Physaria didymocarpa ssp lanata,NA,NA,NA,Physaria didymocarpa ssp lanata,Physaria didymocarpa ssp. lanata,Physaria didymocarpa ssp lanata,NA,Physaria didymocarpa ssp. lanata,NA,RM,RM,Wyoming,Wyoming,Big Horn,Big Horn,08/08/1999,1999-08-08,2019-08-08,x,44.8612,-107.853
PDIDY_LA_52,52,"J. Ratcliff & S. L. O'Kane, Jr.","J. Ratcliff & S. L. O'Kane, Jr.",Physaria didymocarpa ssp lanata,NA,NA,NA,Physaria didymocarpa ssp lanata,Physaria didymocarpa ssp. lanata,Physaria didymocarpa ssp lanata,NA,Physaria didymocarpa ssp. lanata,NA,ISTC,ISTC,Wyoming,Wyoming,Johnson,Johnson,06/17/2014,2014-06-17,2019-06-17,NA,44.3306,-106.8458
PDIDY_LY_2689,2689,R. Rosentreter,R. Rosentreter,Physaria didymocarpa ssp lyrata,NA,NA,NA,Physaria didymocarpa ssp lyrata,Physaria didymocarpa ssp. lyrata,Physaria didymocarpa ssp lyrata,Physaria saximontana ssp. saximontana,Physaria didymocarpa ssp. lyrata,NA,NY,"NY, [MONTU], NY",Idaho,Idaho,Lemhi,Lemhi,05/20/1982,1982-05-20,2019-05-20,x,44.9761,-113.5358
PDIDY_LY_2689,2689,R. Rosentreter,R. Rosentreter,Physaria didymocarpa (Hook.) Gray var.,Physaria didymocarpa (Hook.) Gray var. didymocarpa,NA,NA,Physaria didymocarpa (Hook.) Gray var. didymocarpa,Physaria didymocarpa ssp. didymocarpa,"Physaria didymocarpa (Hook.) Gray var., Physaria didymocarpa (Hook.) Gray var. didymocarpa",Physaria saximontana ssp. saximontana,Physaria didymocarpa ssp. lyrata,NA,NY,"[NY], MONTU, NY",Idaho,Idaho,Lemhi,Lemhi,05/20/1982,1982-05-20,2019-05-20,x,44.9761,-113.5358
PDIDY_LY_3855,3855,R. Rosentreter,R. Rosentreter,Physaria didymocarpa ssp lyrata,NA,NA,NA,Physaria didymocarpa ssp lyrata,Physaria didymocarpa ssp. lyrata,Physaria didymocarpa ssp lyrata,Physaria saximontana ssp. saximontana,Physaria didymocarpa ssp. lyrata,NA,NY,NY,Idaho,Idaho,Lemhi,Lemhi,06/07/1986,1986-06-07,2019-06-07,x,44.9906,-113.5766
PDIDY_LY_45,45,"J. Ratcliff & S. L. O'Kane, Jr.","J. Ratcliff & S. L. O'Kane, Jr.",Physaria didymocarpa ssp lyrata,NA,NA,NA,Physaria didymocarpa ssp lyrata,Physaria didymocarpa ssp. lyrata,Physaria didymocarpa ssp lyrata,NA,Physaria didymocarpa ssp. lyrata,NA,ISTC,ISTC,Idaho,Idaho,Lemhi,Lemhi,06/14/2014,2014-06-14,2019-06-14,NA,45.0819,-113.9622
PDORN_17503,17503,W. Fertig,W. Fertig,Physaria dornii,NA,NA,NA,Physaria dornii,Physaria dornii,Physaria dornii,Physaria integrifolia,Physaria dornii,NA,RM,RM,Wyoming,Wyoming,Lincoln,Lincoln,06/27/1997,1997-06-27,2019-06-27,NA,41.9417,-110.8773
PDORN_17506,17506,W. Fertig,W. Fertig,Physaria dornii,NA,NA,NA,Physaria dornii,Physaria dornii,Physaria dornii,Physaria integrifolia,Physaria dornii,NA,RM,RM,Wyoming,Wyoming,Lincoln,Lincoln,06/17/1997,1997-06-17,2019-06-17,NA,42.0161,-110.8579
PDORN_42,42,"J. Ratcliff & S. L. O'Kane, Jr.","J. Ratcliff & S. L. O'Kane, Jr.",Physaria dornii,NA,NA,NA,Physaria dornii,Physaria dornii,Physaria dornii,Physaria integrifolia,Physaria dornii,NA,ISTC,ISTC,Wyoming,Wyoming,Lincoln,Lincoln,06/12/2014,2014-06-12,2019-06-12,NA,41.8369,-110.8833
